index_number,region_number,port_name,country,port_latitude,port_longitude,publication_number,chart_number,harbor_size,harbor_type,shelter_afforded,entry_tide,entry_swell,entry_ice,entry_other,overhead_limit,channel_depth,anchorage_depth,cargo_pier_depth,cargo_oil_depth,tide_range,max_vessel_size,good_holding_ground,turning_area,port_of_entry,us_representative,eta_message_required,pilot_required,pilot_available,pilot_local_assist,pilot_advised,tug_salvage,tug_assist,quarantine_procedures_required,quarantine_sscc_cert_required,quarantine_other,comms_phone,comms_fax,comms_radio,comms_vhf,comms_air,comms_rail,cargo_wharf,cargo_anchor,cargo_med_moor,cargo_beach_moor,cargo_ice_moor,med_facility,garbage_dispose,degauss,dirty_ballast,crane_fixed,crane_mobile,crane_float,lift_100_tons,lift_50_100_tons,lift_25_49_tons,lift_0_24_tons,services_longshore,services_electrical,services_steam,services_nav_equip,services_electrical_repair,provisions,water,fuel_oil,diesel,deck_supplies,eng_supplies,repair_types,dry_dock_types,railway_types,port_geom
2320,2270,HUDSON,CA,45.466667,-74.133333,SCOR,1510,V,RN,E,,,TRUE,,,P,P,P,,0,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-74.1333333333333 45.4666666666667)
2350,2270,CARILLON,CA,45.566667,-74.366667,SCOR,1510,V,RN,E,,,TRUE,,TRUE,P,K,P,,0,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-74.3666666666667 45.5666666666667)
2330,2270,ST PLACIDE,CA,45.533333,-74.2,SCOR,1510,V,RN,E,,,TRUE,,,P,P,Q,,0,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-74.2 45.5333333333333)
2380,2270,GRENVILLE,CA,45.633333,-74.6,SCOR,1511,V,RN,E,,,TRUE,,,P,P,P,,0,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-74.6 45.6333333333333)
2390,2270,HAWKESBURY,CA,45.616667,-74.616667,SCOR,1511,V,RN,E,,,TRUE,,,P,P,P,,0,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-74.6166666666667 45.6166666666667)
2370,2270,CHUTE A BLONDEAU,CA,45.583333,-74.466667,SCOR,1511,V,RN,E,,,TRUE,,TRUE,P,P,P,,0,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-74.4666666666667 45.5833333333333)
9320,8650,PORT INGLESIDE,US,27.816667,-97.183333,CP05,11309,V,CN,G,FALSE,FALSE,FALSE,TRUE,TRUE,K,K,,K,1,L,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,TRUE,,,,TRUE,,,TRUE,,,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,POINT(-97.1833333333333 27.8166666666667)
9235,8650,DEER PARK,US,29.75,-95.333333,CP05,11325,V,RN,G,,,,TRUE,TRUE,G,K,,L,0,L,,TRUE,,,TRUE,TRUE,,,TRUE,,TRUE,,,,TRUE,,TRUE,TRUE,,,,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,,,S,POINT(-95.3333333333333 29.75)
9220,8650,PASADENA,US,29.716667,-95.216667,CP05,11325,V,RN,G,FALSE,FALSE,FALSE,TRUE,TRUE,J,L,L,J,1,L,,TRUE,TRUE,FALSE,TRUE,TRUE,,,TRUE,TRUE,TRUE,,,,TRUE,,,TRUE,,TRUE,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,M,POINT(-95.2166666666667 29.7166666666667)
9210,8650,NORSWORTHY,US,29.733333,-95.2,CP05,11325,V,RN,G,FALSE,FALSE,FALSE,TRUE,TRUE,J,K,K,,1,,,TRUE,TRUE,FALSE,FALSE,TRUE,,,,FALSE,FALSE,,,,TRUE,,,TRUE,,TRUE,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,M,POINT(-95.2 29.7333333333333)
9230,8650,SINCO,US,29.716667,-95.233333,CP05,11325,V,RN,G,FALSE,FALSE,FALSE,TRUE,TRUE,J,K,K,,1,,,TRUE,,,,TRUE,,,,,,,,,TRUE,,,TRUE,,TRUE,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,M,POINT(-95.2333333333333 29.7166666666667)
9170,8650,BAYTOWN,US,29.733333,-95.016667,CP05,11329,V,CN,G,TRUE,FALSE,FALSE,TRUE,TRUE,G,K,J,J,1,L,TRUE,TRUE,TRUE,,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,FALSE,,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE,,TRUE,,,,,,,,TRUE,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,S,POINT(-95.0166666666667 29.7333333333333)
9050,8650,SABINE,US,29.716667,-93.866667,CP05,11342,V,CN,N,FALSE,FALSE,FALSE,TRUE,TRUE,J,J,J,L,1,L,TRUE,,TRUE,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,,FALSE,,TRUE,TRUE,TRUE,TRUE,,,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,S,POINT(-93.8666666666667 29.7166666666667)
8893,8650,ST. JAMES,US,29.983333,-90.933333,CP05,11352,S,RN,F,,,,TRUE,,,,,J,0,M,,,,,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,POINT(-90.9333333333333 29.9833333333333)
8895,8650,CONVENT,US,30.016667,-90.833333,CP05,11352,S,RN,F,,,,TRUE,,,,,J,0,M,,,,,TRUE,TRUE,TRUE,TRUE,,TRUE,,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,POINT(-90.8333333333333 30.0166666666667)
8850,8650,GRETNA,US,29.916667,-90.066667,CP05,11368,V,RN,E,FALSE,FALSE,FALSE,TRUE,TRUE,K,H,H,L,0,M,,,,,,TRUE,,,TRUE,,,,,,TRUE,TRUE,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,POINT(-90.0666666666667 29.9166666666667)
8930,8650,RESERVE,US,30.05,-90.55,CP05,11369,V,RN,N,FALSE,FALSE,TRUE,TRUE,TRUE,K,H,G,D,0,L,,,,,TRUE,TRUE,,,TRUE,TRUE,,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,TRUE,,,,,,TRUE,FALSE,FALSE,,,,,,POINT(-90.55 30.05)
8570,6585,MAYPORT,US,30.4,-81.433333,CP04,11490,V,RN,E,FALSE,FALSE,FALSE,TRUE,TRUE,H,H,H,,5,L,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,TRUE,TRUE,TRUE,,TRUE,,,TRUE,,,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,POINT(-81.4333333333333 30.4)
8180,6585,CAPE CHARLES,US,37.266667,-76.016667,CP03,12224,V,CN,E,FALSE,FALSE,FALSE,TRUE,FALSE,N,O,O,,2,M,,TRUE,TRUE,FALSE,FALSE,TRUE,,,,,,TRUE,TRUE,,TRUE,,,,,TRUE,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,POINT(-76.0166666666667 37.2666666666667)
8245,6585,PINEY POINT,US,38.133333,-76.533333,CP03,12233,V,RN,E,FALSE,FALSE,FALSE,FALSE,TRUE,N,N,J,K,2,L,,,FALSE,FALSE,TRUE,TRUE,,,,TRUE,TRUE,,,,,,TRUE,TRUE,FALSE,,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,POINT(-76.5333333333333 38.1333333333333)
8318,6585,WARWICK,US,37.45,-77.416667,CP03,12251,S,RN,E,FALSE,FALSE,FALSE,FALSE,,L,L,N,,4,M,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,TRUE,TRUE,,TRUE,,,,,TRUE,TRUE,,,,,TRUE,,,FALSE,TRUE,,,,,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,,,,,POINT(-77.4166666666667 37.45)
8270,6585,FREDERICKSBURG,US,38.3,-77.45,CP03,12288,V,RN,E,FALSE,FALSE,FALSE,TRUE,TRUE,P,P,P,,3,M,,,FALSE,FALSE,FALSE,TRUE,,,,,,TRUE,TRUE,,TRUE,,,,,TRUE,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,POINT(-77.45 38.3)
8040,6585,DEEPWATER POINT,US,39.7,-75.516667,CP03,12311,V,RN,G,FALSE,FALSE,FALSE,TRUE,TRUE,M,M,L,,6,L,,,FALSE,FALSE,,TRUE,,,,,,TRUE,,,TRUE,,,,,TRUE,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,POINT(-75.5166666666667 39.7)
8030,6585,NEW CASTLE,US,39.65,-75.566667,CP03,12311,V,RN,G,FALSE,FALSE,FALSE,TRUE,TRUE,L,P,O,,5,L,,,FALSE,FALSE,,TRUE,,,,,,TRUE,,,TRUE,,,,,,TRUE,,,,,TRUE,,,FALSE,,,,,,,TRUE,,,,,,,,,,,,,,,POINT(-75.5666666666667 39.65)
8115,6585,PAULSBORO,US,39.85,-75.25,CP03,12312,V,RN,G,FALSE,FALSE,FALSE,TRUE,TRUE,K,K,K,J,6,L,,,FALSE,FALSE,FALSE,TRUE,,,,,,TRUE,TRUE,,TRUE,,,,,,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,POINT(-75.25 39.85)
8150,6585,BRISTOL,US,40.1,-74.85,CP03,12314,V,RN,E,FALSE,FALSE,TRUE,TRUE,TRUE,M,M,J,J,6,M,,,TRUE,FALSE,FALSE,TRUE,,,,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,,,,,,,,,,,,,S,POINT(-74.85 40.1)
7990,6585,LEONARDO,US,40.433333,-74.066667,CP02,12330,S,CN,F,FALSE,FALSE,FALSE,TRUE,FALSE,K,J,J,,5,M,,TRUE,FALSE,FALSE,,TRUE,,,,,,TRUE,,,TRUE,,,,,TRUE,TRUE,,,,,TRUE,,,FALSE,,,,,,,TRUE,,,,,TRUE,,TRUE,,TRUE,,,,,S,POINT(-74.0666666666667 40.4333333333333)
7900,6585,GRASSELLI,US,40.616667,-74.2,CP02,12333,S,RN,G,FALSE,FALSE,FALSE,TRUE,TRUE,K,K,K,,5,,,,TRUE,FALSE,TRUE,TRUE,,,,,TRUE,TRUE,FALSE,,TRUE,,,,TRUE,TRUE,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,,TRUE,TRUE,,TRUE,TRUE,,,,,,,,POINT(-74.2 40.6166666666667)
7780,6585,JERSEY CITY,US,40.716667,-74.033333,CP02,12335,M,RN,G,FALSE,FALSE,FALSE,TRUE,,H,H,K,K,4,L,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,,,,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,,,FALSE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,POINT(-74.0333333333333 40.7166666666667)
7730,6585,RENSSELAER,US,42.65,-73.75,CP02,12348,V,RN,G,FALSE,FALSE,FALSE,TRUE,TRUE,N,J,L,K,5,M,,,FALSE,FALSE,FALSE,TRUE,,,,,TRUE,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,POINT(-73.75 42.65)
7510,6585,NORWICH,US,41.516667,-72.083333,CP02,12372,V,RN,E,FALSE,FALSE,TRUE,TRUE,TRUE,M,M,M,M,3,M,,,FALSE,FALSE,FALSE,TRUE,,,,FALSE,FALSE,TRUE,TRUE,,TRUE,,,,TRUE,,TRUE,,,,,TRUE,,,FALSE,,,,,,,TRUE,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,POINT(-72.0833333333333 41.5166666666667)
7450,6585,MONTAUK HARBOR,US,41.066667,-71.933333,CP02,13209,V,CB,G,FALSE,FALSE,FALSE,TRUE,FALSE,O,O,P,,2,M,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,,TRUE,,,,,TRUE,TRUE,,,,,TRUE,,,FALSE,,,,TRUE,,TRUE,TRUE,,,,,,TRUE,TRUE,,TRUE,TRUE,TRUE,,,,POINT(-71.9333333333333 41.0666666666667)
7470,6585,STONINGTON,US,41.333333,-71.9,CP02,13214,V,RN,G,FALSE,FALSE,FALSE,TRUE,FALSE,O,N,O,,3,M,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,,TRUE,,,,,TRUE,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,,,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,,S,POINT(-71.9 41.3333333333333)
7440,6585,DAVISVILLE DEPOT,US,41.616667,-71.4,CP02,13223,V,CN,F,FALSE,FALSE,FALSE,TRUE,FALSE,K,K,K,,4,M,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,,TRUE,,,,,,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,POINT(-71.4 41.6166666666667)
7430,6585,QUONSET POINT,US,41.583333,-71.4,CP02,13223,V,CN,F,FALSE,FALSE,FALSE,TRUE,FALSE,K,K,L,,4,M,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,FALSE,TRUE,TRUE,FALSE,,TRUE,,,,TRUE,TRUE,TRUE,,,,,TRUE,,,FALSE,,,,,,,,TRUE,TRUE,,,,TRUE,TRUE,TRUE,TRUE,,,,,,POINT(-71.4 41.5833333333333)
7315,6585,HYANNIS PORT,US,41.633333,-70.3,CP02,13229,V,CB,F,FALSE,FALSE,FALSE,TRUE,FALSE,P,N,P,,3,M,,,FALSE,FALSE,FALSE,FALSE,,,,,,,,,TRUE,,,,,TRUE,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,POINT(-70.3 41.6333333333333)
7270,6585,SCITUATE,US,42.2,-70.716667,CP01,13269,V,CB,G,FALSE,FALSE,FALSE,TRUE,TRUE,P,O,P,,9,M,,,FALSE,FALSE,TRUE,,,,,FALSE,FALSE,TRUE,TRUE,,TRUE,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,S,POINT(-70.7166666666667 42.2)
7200,6585,ROCKPORT,US,42.666667,-70.616667,CP01,13279,V,CB,G,TRUE,FALSE,FALSE,TRUE,FALSE,P,P,P,,9,M,,,FALSE,FALSE,FALSE,,TRUE,,,FALSE,FALSE,TRUE,TRUE,,TRUE,,,,,TRUE,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,POINT(-70.6166666666667 42.6666666666667)
7190,6585,NEWBURYPORT,US,42.816667,-70.866667,CP01,13282,V,RN,G,TRUE,FALSE,FALSE,TRUE,TRUE,O,O,P,,8,M,TRUE,,FALSE,FALSE,FALSE,TRUE,,,,FALSE,FALSE,TRUE,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,S,POINT(-70.8666666666667 42.8166666666667)
7140,6585,SOUTH HARPSWELL,US,43.733333,-70.016667,CP01,13290,V,CN,F,FALSE,FALSE,FALSE,TRUE,,O,H,P,,9,M,,,FALSE,FALSE,FALSE,,TRUE,,,FALSE,FALSE,TRUE,TRUE,,TRUE,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,POINT(-70.0166666666667 43.7333333333333)
7020,6585,PEMAQUID BEACH,US,43.866667,-69.533333,CP01,13293,V,CN,F,TRUE,FALSE,FALSE,TRUE,FALSE,H,J,P,,9,M,TRUE,,FALSE,FALSE,FALSE,FALSE,,,,FALSE,FALSE,TRUE,TRUE,,TRUE,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,POINT(-69.5333333333333 43.8666666666667)
7100,6585,GARDINER,US,44.233333,-69.766667,CP01,13298,V,RN,G,FALSE,FALSE,TRUE,TRUE,TRUE,O,O,O,,5,M,,,FALSE,FALSE,FALSE,TRUE,,,,FALSE,FALSE,TRUE,TRUE,,TRUE,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,TRUE,,,,,,,,,POINT(-69.7666666666667 44.2333333333333)
6970,6585,MONHEGAN,US,43.766667,-69.316667,CP01,13301,V,CN,P,TRUE,FALSE,FALSE,TRUE,FALSE,O,O,O,,9,M,FALSE,,TRUE,FALSE,TRUE,FALSE,TRUE,,,FALSE,FALSE,TRUE,FALSE,,TRUE,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,TRUE,,,,,,,,,POINT(-69.3166666666667 43.7666666666667)
6830,6585,MATINICUS,US,43.866667,-68.883333,CP01,13303,V,CB,F,TRUE,FALSE,FALSE,TRUE,FALSE,M,O,P,,9,M,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,FALSE,,TRUE,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,POINT(-68.8833333333333 43.8666666666667)
6820,6585,CRIEHAVEN,US,43.833333,-68.883333,CP01,13303,V,CB,P,FALSE,FALSE,FALSE,TRUE,FALSE,P,P,P,,9,M,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,FALSE,,TRUE,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,POINT(-68.8833333333333 43.8333333333333)
6870,6585,SANDYPOINT,US,44.516667,-68.816667,CP01,13309,V,RN,F,TRUE,FALSE,FALSE,TRUE,TRUE,O,O,L,,11,M,,,TRUE,FALSE,TRUE,TRUE,,,,FALSE,FALSE,TRUE,FALSE,,TRUE,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,POINT(-68.8166666666667 44.5166666666667)
6800,6585,BUCKS HARBOR,US,44.333333,-68.733333,CP01,13309,V,CN,G,FALSE,FALSE,FALSE,TRUE,FALSE,M,J,O,,0,M,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,FALSE,,TRUE,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,POINT(-68.7333333333333 44.3333333333333)
6750,6585,MINTURN,US,44.15,-68.45,CP01,13313,V,CN,G,TRUE,FALSE,FALSE,TRUE,FALSE,P,K,Q,,10,M,,,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,TRUE,FALSE,,TRUE,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,POINT(-68.45 44.15)
6740,6585,FRENCHBORO,US,44.116667,-68.366667,CP01,13313,V,CN,F,TRUE,FALSE,FALSE,TRUE,,M,P,P,,11,M,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,TRUE,FALSE,,TRUE,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,POINT(-68.3666666666667 44.1166666666667)
6810,6585,STONINGTON,US,44.15,-68.666667,CP01,13315,V,CN,G,FALSE,FALSE,TRUE,TRUE,FALSE,N,N,P,,0,M,,,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,TRUE,FALSE,,TRUE,,,,,,TRUE,,,,,,,,FALSE,TRUE,,,,,TRUE,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,POINT(-68.6666666666667 44.15)
6690,6585,SORRENTO,US,44.466667,-68.183333,CP01,13318,V,CN,F,FALSE,FALSE,FALSE,TRUE,FALSE,P,P,P,,10,M,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE,FALSE,TRUE,FALSE,,TRUE,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,TRUE,TRUE,TRUE,,,,,,,,POINT(-68.1833333333333 44.4666666666667)
6650,6585,WYMAN,US,44.516667,-67.866667,CP01,13324,V,CN,G,FALSE,FALSE,TRUE,TRUE,FALSE,P,P,P,,11,M,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,FALSE,FALSE,TRUE,TRUE,,TRUE,,,,,,TRUE,,,,,,TRUE,,FALSE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,POINT(-67.8666666666667 44.5166666666667)
6670,6585,COREA,US,44.4,-67.966667,CP01,13324,V,CN,F,TRUE,TRUE,TRUE,TRUE,FALSE,P,P,P,,11,M,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,FALSE,FALSE,TRUE,TRUE,,TRUE,,,,,,TRUE,,,,,,,,FALSE,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,,POINT(-67.9666666666667 44.4)
6660,6585,MILBRIDGE,US,44.533333,-67.883333,CP01,13324,V,RN,G,FALSE,TRUE,TRUE,TRUE,TRUE,P,O,P,,11,M,,,FALSE,FALSE,TRUE,FALSE,TRUE,,,FALSE,FALSE,TRUE,TRUE,,TRUE,,,,,,TRUE,,,,,TRUE,,,FALSE,,,,,,,,,,,,,TRUE,TRUE,,TRUE,,,,,,POINT(-67.8833333333333 44.5333333333333)
6575,6070,PORT BAYSIDE NB,CA,45.15,-67.133333,145,13398,V,RN,,,,,,FALSE,,L,,,0,,,,,,,,TRUE,,,,,,,,TRUE,,,,,TRUE,,TRUE,,,,,,,,TRUE,,,TRUE,,,,TRUE,,,,,,TRUE,,,,,,,,POINT(-67.1333333333334 45.15)
5920,5860,CHETICAMP,CA,46.633333,-61,145,14002,V,CN,P,FALSE,FALSE,TRUE,TRUE,,M,M,M,,1,M,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,TRUE,,,,,TRUE,,,,,TRUE,,,FALSE,,,,,,,,TRUE,,,,,TRUE,,,TRUE,,,,,,POINT(-61 46.6333333333333)
